SubId;"Дата и время";Оффер;Источник;"Флаг страны";Город;ОС;"Тип соединения";"Тип устройства";"Уник. (кампания)";"Sub ID 1";SubId
2dvqdlpvlvo;"2024-09-13 14:32:04";"MostBet [PL] 100$ SWEET BONANZA pwa";app[PwaGroup];PL;Wroclaw;Android;"Сотовая связь";"Мобильный телефон";1;SophiaPotapova_crSWEETBONANZA_12_09_2024(17)_t6_oanscene;2dvqdlpvlvo
drdgdlpvjup;"2024-09-13 12:35:35";"MostBet [PL] 100$ SWEET BONANZA pwa";app[PwaGroup];PL;Koszalin;Android;"Сотовая связь";"Мобильный телефон";1;SophiaPotapova_crSWEETBONANZA_12_09_2024(15)_t1_oanscene;drdgdlpvjup
36vf8u5pvjn3;"2024-09-13 12:25:14";"MostBet [PL] 100$ SWEET BONANZA pwa";app[PwaGroup];PL;Warsaw;Android;"Сотовая связь";"Мобильный телефон";1;SophiaVladimirova_crMOSTBETP_28_08_2024(9)_t4_ybfcore;36vf8u5pvjn3
2dj6714pvjkk;"2024-09-13 12:20:28";"MostBet [PL] 100$ SWEET BONANZA pwa";app[PwaGroup];PL;Lodz;Android;"Сотовая связь";"Мобильный телефон";1;SophiaPotapova_crSWEETBONANZA_12_09_2024(15)_t1_oanscene;2dj6714pvjkk
2ip06epvjjm;"2024-09-13 12:18:29";"MostBet [PL] 100$ SWEET BONANZA pwa";app[PwaGroup];PL;Szczecin;Android;"Сотовая связь";"Мобильный телефон";1;SophiaPotapova_crMOSTBET_SB_13_09_2024(3)_t3_oanscene_1;2ip06epvjjm
2qn45h1pvird;"2024-09-13 11:40:37";"MostBet [PL] 100$ SWEET BONANZA pwa";app[PwaGroup];PL;Warsaw;Android;"Сотовая связь";"Мобильный телефон";1;SophiaVladimirova_crMOSTBETP_28_08_2024(9)_t4_ybfcore;2qn45h1pvird
3tceo6pvhee;"2024-09-13 10:32:29";"MostBet [PL] 100$ SWEET BONANZA pwa";app[PwaGroup];PL;"Jaworzyna Slaska";Android;"Сотовая связь";"Мобильный телефон";1;SophiaPotapova_crMOSTBETP_28_08_2024(5)_t6_ybfcore_1;3tceo6pvhee
2qn45h1pvhc2;"2024-09-13 10:28:47";"MostBet [PL] 100$ SWEET BONANZA pwa";app[PwaGroup];PL;Warsaw;Android;"Сотовая связь";"Мобильный телефон";1;SophiaVladimirova_crMOSTBETP_28_08_2024(9)_t4_ybfcore;2qn45h1pvhc2
3mbfur6pvhbv;"2024-09-13 10:28:26";"MostBet [PL] 100$ SWEET BONANZA pwa";app[PwaGroup];PL;Warsaw;Android;"Сотовая связь";"Мобильный телефон";1;SophiaPotapova_crMOSTBET_SB_13_09_2024(2)_t2_oanscene_1;3mbfur6pvhbv
3i2fu6gpvh2j;"2024-09-13 10:15:42";"MostBet [PL] 100$ SWEET BONANZA pwa";app[PwaGroup];PL;Barwice;Android;"Сотовая связь";"Мобильный телефон";1;SophiaPotapova_crSWEETBONANZA_12_09_2024(15)_t1_oanscene;3i2fu6gpvh2j
356g7ttpvgmg;"2024-09-13 09:56:27";"MostBet [PL] 100$ SWEET BONANZA pwa";app[PwaGroup];PL;Warsaw;Android;"Сотовая связь";"Мобильный телефон";1;SophiaPotapova_crSWEETBONANZA_12_09_2024(17)_t3_oanscene_1;356g7ttpvgmg
15vglsspvgk2;"2024-09-13 09:51:59";"MostBet [PL] 100$ SWEET BONANZA pwa";app[PwaGroup];PL;Warsaw;Android;"Сотовая связь";"Мобильный телефон";1;SophiaPotapova_crSWEETBONANZA_12_09_2024(17)_t3_oanscene;15vglsspvgk2
2qn45h1pvgjp;"2024-09-13 09:51:17";"MostBet [PL] 100$ SWEET BONANZA pwa";app[PwaGroup];PL;Warsaw;Android;"Сотовая связь";"Мобильный телефон";1;SophiaVladimirova_crMOSTBETS_13_11_2023(6)_t4_ybfcore;2qn45h1pvgjp
3jmhu3opvgjh;"2024-09-13 09:50:37";"MostBet [PL] 100$ SWEET BONANZA pwa";app[PwaGroup];PL;Warsaw;Android;"Сотовая связь";"Мобильный телефон";1;SophiaPotapova_crMOSTBET_SB_13_09_2024(3)_t3_oanscene_1;3jmhu3opvgjh
1i7rpmopvfsf;"2024-09-13 09:11:26";"MostBet [PL] 100$ SWEET BONANZA pwa";app[PwaGroup];PL;"Zdunska Wola";Android;"Сотовая связь";"Мобильный телефон";1;SophiaVladimirova_crMOSTBETP_28_08_2024(4)_t6_ybfcore;1i7rpmopvfsf
3eesia4pvfr9;"2024-09-13 09:09:58";"MostBet [PL] 100$ SWEET BONANZA pwa";app[PwaGroup];PL;Krakow;Android;"Сотовая связь";"Мобильный телефон";1;SophiaPotapova_crMOSTBETP_28_08_2024(5)_t6_ybfcore_1;3eesia4pvfr9
2f2p7ufpvfbd;"2024-09-13 08:42:59";"MostBet [PL] 100$ SWEET BONANZA pwa";app[PwaGroup];PL;Warsaw;Android;"Сотовая связь";"Мобильный телефон";1;SophiaVladimirova_crMOSTBETP_28_08_2024(5)_t6_ybfcore;2f2p7ufpvfbd
32sj54mpvf3j;"2024-09-13 08:24:16";"MostBet [PL] 100$ SWEET BONANZA pwa";app[PwaGroup];PL;Katowice;Android;"Сотовая связь";"Мобильный телефон";1;SophiaVladimirova_crMOSTBETP_28_08_2024(9)_t4_ybfcore;32sj54mpvf3j
12p7tdhpvf1c;"2024-09-13 08:20:17";"MostBet [PL] 100$ SWEET BONANZA pwa";app[PwaGroup];PL;Krakow;Android;"Сотовая связь";"Мобильный телефон";1;SophiaPotapova_crSWEETBONANZA_12_09_2024(15)_t1_oanscene;12p7tdhpvf1c
3ihtcdkpvenj;"2024-09-13 08:01:31";"MostBet [PL] 100$ SWEET BONANZA pwa";app[PwaGroup];PL;Warsaw;Android;"Сотовая связь";"Мобильный телефон";1;SophiaPotapova_crSWEETBONANZA_12_09_2024(17)_t3_oanscene_1;3ihtcdkpvenj
2jmfg6pveak;"2024-09-13 07:36:04";"MostBet [PL] 100$ SWEET BONANZA pwa";app[PwaGroup];PL;Leszno;Android;"Сотовая связь";"Мобильный телефон";1;SophiaVladimirova_crMOSTBETPL_05_08_2024(2)_t2_ybfcore;2jmfg6pveak
1mqp0grpvdfm;"2024-09-13 06:34:45";"MostBet [PL] 100$ SWEET BONANZA pwa";app[PwaGroup];PL;Krakow;Android;"Сотовая связь";"Мобильный телефон";1;SophiaVladimirova_crMOSTBETPL_05_08_2024(2)_t2_ybfcore;1mqp0grpvdfm
3gjtp34pvdcu;"2024-09-13 06:27:26";"MostBet [PL] 100$ SWEET BONANZA pwa";app[PwaGroup];PL;Warsaw;Android;"Сотовая связь";"Мобильный телефон";1;SophiaVladimirova_crMOSTBETPL_05_08_2024(2)_t2_ybfcore;3gjtp34pvdcu
24tiibjpvd98;"2024-09-13 06:18:32";"MostBet [PL] 100$ SWEET BONANZA pwa";app[PwaGroup];PL;Warsaw;Android;"Сотовая связь";"Мобильный телефон";1;SophiaPotapova_crMOSTBETS_13_11_2023(6)_t1_ybfcore_3;24tiibjpvd98
