Adname,Spend,New,Reg,Dep,Qua
MelaniaVysotskaya_crCASINOUAS_01_08_2024(10)_t2_L2_10,"7,8",14,1,0,0
MelaniaVysotskaya_crCASINOUAS_01_08_2024(5)_t5_L1,"28,83",57,5,0,0
MelaniaVysotskaya_crCASINOUAS_01_08_2024(10)_t2_L2,"36,28",42,5,0,0
MelaniaVysotskaya_crCASINOUA_12_08_2024(17)_t4_L2,"8,58",11,0,0,0
MelaniaVysotskaya_crCASINOUAS_01_08_2024(14)_t3_L2_6,"10,14",14,1,0,0
MelaniaVysotskaya_crCASINOUAS_01_08_2024(14)_t3_L2_12,"10,69",11,1,0,0
MelaniaVysotskaya_crCASINOUAS_01_08_2024(7)_t1_L2,"16,05",25,2,0,0
MelaniaVysotskaya_crCASINOUAS_01_08_2024(10)_t2_L2_9,"7,84",7,0,0,0
NikaFedorova_crCASINOUAS_01_08_2024(14)_t3_L2_13,0,90|5,19,3,0
NikaFedorova_crCASINOUAS_01_08_2024(5)_t3_L1_21,0,13,2,0,0
MelaniaVysotskaya_crCASINOUAS_01_08_2024(14)_t3_L2_8,"8,04",7,0,0,0
MelaniaVysotskaya_crCASINOUAS_01_08_2024(14)_t3_L2_14,"17,76",16|1,2,0,0
MelaniaVysotskaya_crCASINOUAS_01_08_2024(5)_t2_L1,"35,78",58,5,0,0
MelaniaVysotskaya_crCASINOUA_05_08_2024(3)_t4_L1,"1,98",3,0,0,0
MelaniaVysotskaya_crCASINOUAS_01_08_2024(14)_t3_L2_4,"10,2",10|1,0,0,0
NikaFedorova_crCASINOUAS_01_08_2024(14)_t3_L2_9,0,189|7,31|1,6,0
MelaniaVysotskaya_crCASINOUA_05_09_2024(24)_t2_L2,"0,57",1,0,0,0
NikaFedorova_crCASINOUAS_01_08_2024(5)_t3_L1_30,0,31,10,1,0
MelaniaVysotskaya_crCASINOUAS_01_08_2024(14)_t3_L2,"10,51",12,2,0,0
MelaniaVysotskaya_crCASINOUAS_01_08_2024(10)_t5_L1,"10,61",12,0,0,0
MelaniaVysotskaya_crCASINOUAS_01_08_2024(14)_t1_L1,"16,76",19,3,0,0
MelaniaVysotskaya_crCASINOUAS_01_08_2024(14)_t2_L2,"14,29",13,1,0,0
MelaniaVysotskaya_crCASINOUAS_01_08_2024(7)_t4_L1,"23,65",35,3,0,0
MelaniaVysotskaya_crCASINOUAS_01_08_2024(7)_t3_L1,"6,63",8,0,0,0
NikaFedorova_crCASINOUAS_01_08_2024(5)_t3_L1_2,0,239|3,32,5,0
MelaniaVysotskaya_crCASINOUAS_01_08_2024(7)_t4_L2,"13,44",20,1,0,0
MelaniaVysotskaya_crCASINOUAS_01_08_2024(10)_t1_L1,"8,5",10,0,0,0
MelaniaVysotskaya_crCASINOUAS_01_08_2024(5)_t3_L1,"9,29",10,0,0,0
MelaniaVysotskaya_crCASINOUAS_01_08_2024(5)_t1_L1,"11,67",18,1,0,0
MelaniaVysotskaya_crCASINOUAS_01_08_2024(7)_t5_L1,"19,42",33,2,0,0
MelaniaVysotskaya_crCASINOUAS_01_08_2024(7)_t3_L2,"11,04",22|1,1,0,0
MelaniaVysotskaya_crCASINOUAS_01_08_2024(5)_t4_L2,"10,26",14,0,0,0
MelaniaVysotskaya_crCASINOUAS_01_08_2024(5)_t1_L2,"8,32",16,0,0,0
NikaFedorova_crCASINOUAS_01_08_2024(5)_t3_L1,0,570|20,70|1,8,0
NikaFedorova_crCASINOUAS_01_08_2024(14)_t3_L2_43,0,32,8,0,0
NikaFedorova_crCASINOUAS_01_08_2024(14)_t3_L2_21,0,20,3,0,0
MelaniaVysotskaya_crCASINOUAS_01_08_2024(10)_t3_L1,"6,88",12,0,0,0
MelaniaVysotskaya_crCASINOUAS_01_08_2024(7)_t5_L2,"8,53",13,0,0,0
NikaFedorova_crCASINOUAS_01_08_2024(5)_t3_L1_3,0,132|3,18,1,0
NikaFedorova_crCASINOUAS_01_08_2024(5)_t3_L1_27,0,15|5,2,0,0
NikaFedorova_crCASINOUAS_01_08_2024(5)_t3_L1_7,0,195|9,21,5,0
RK01_crCASINOUAS_01_08_2024(7)_t3_L1,0,1,1,0,0
RK01_crCASINOUAS_01_08_2024(7)_t4_L2,0,1,0,0,0
RK01_crCASINOUAS_01_08_2024(14)_t1_L2,0,1,0,0,0
NikaFedorova_crCASINOUAS_01_08_2024(10)_t2_L2_34,0,30|1,4,0,0
RK01_crCASINOUAS_01_08_2024(14)_t3_L2,0,1,0,0,0
NikaFedorova_crCASINOUAS_01_08_2024(7)_t4_L1_6,0,11|1,1|1,0,0
NikaFedorova_crCASINOUAS_01_08_2024(14)_t3_L2,0,458|13,79|2,15,0
NikaFedorova_crCASINOUAS_01_08_2024(14)_t3_L2_14,0,36|1,7,1,0
NikaFedorova_crCASINOUAS_01_08_2024(14)_t3_L2_48,0,33|1,13,1,0
NikaFedorova_crCASINOUAS_01_08_2024(10)_t2_L2_28,0,17,3,0,0
NikaFedorova_crCASINOUAS_01_08_2024(7)_t4_L1_5,0,27|1,7,2,0
NikaFedorova_crCASINOUA_17_08_2024(20)_t4_L2,0,5,2,1,0
NikaFedorova_crCASINOUAS_01_08_2024(14)_t3_L2_20,0,39|2,7,4,0
NikaFedorova_crCASINOUAS_01_08_2024(5)_t3_L1_20,0,36,5,0,0
NikaFedorova_crCASINOUAS_01_08_2024(10)_t2_L2_16,0,92|1,18,1,0
NikaFedorova_crCASINOUAS_01_08_2024(10)_t2_L2_25,0,51|1,13,1,0
NikaFedorova_crCASINOUAS_01_08_2024(14)_t3_L2_17,0,16,3,0,0
ThangLoThi_S - 38511_casinoua20fs_adset1cp5_сasua20fsmycrvulcan,0,1,0,0,0
NikaFedorova_crCASINOUAS_01_08_2024(10)_t2_L2_7,0,9,1,0,0
Elina_Kuznecova_CasinoUA_ad_t1_L2_C8_kwjrb3493,0,1,0,0,0
NikaFedorova_crCASINOUAS_01_08_2024(5)_t3_L1_26,0,17,3,0,0
NikaFedorova_crCASINOUAS_01_08_2024(14)_t3_L2_15,0,9,2,1,0
NikaFedorova_crCASINOUAS_01_08_2024(10)_t2_L2_38,0,14,1,0,0
Taisia_Sokolova_CasinoUA_ad_t1_L2_C9_fl00948g2,0,1,0,0,0
NikaFedorova_crCASINOUAS_01_08_2024(5)_t3_L1_19,0,8,1,1,0
NikaFedorova_crCASINOUA_12_08_2024(16)_t2_L2,0,9|1,0,0,0
NikaFedorova_crCASINOUAS_01_08_2024(5)_t3_L1_24,0,12,0,0,0
NikaFedorova_crCASINOUAS_01_08_2024(5)_t3_L1_23,0,6,0,0,0
NikaFedorova_crCASINOUAS_01_08_2024(14)_t3_L2_50,0,14,0,0,0
NikaFedorova_crCASINOUAS_01_08_2024(10)_t2_L2_31,0,13,2,0,0
NikaFedorova_crCASINOUAS_01_08_2024(7)_t4_L1_9,0,22|1,3,1,0
NikaFedorova_crCASINOUAS_01_08_2024(10)_t2_L2_13,0,37,6,1,0
NikaFedorova_crCASINOUAS_01_08_2024(10)_t2_L2_29,0,6,2,0,0
NikaFedorova_crCASINOUAS_01_08_2024(7)_t4_L1_14,0,16,1,0,0
NikaFedorova_crCASINOUAS_01_08_2024(7)_t4_L1_15,0,20,3,0,0
NikaFedorova_crCASINOUAS_01_08_2024(7)_t4_L1_12,0,11,1,0,0
